Name,Image,Detail,Synopsis
国家电网正式发布分布式电源并网工作意见,,"&nbsp;<p class=""MsoNormal""> <span style=""font-family:宋体;"">文章来源：</span><span>i</span><span style=""font-family:宋体;"">美股</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">（</span><span>i</span><span style=""font-family:宋体;"">美股讯）北京时间</span><span>2</span><span style=""font-family:宋体;"">月</span><span>28</span><span style=""font-family:宋体;"">日</span><span style=""font-family:宋体;"">上午</span><span>10</span><span style=""font-family:宋体;"">：</span><span>30</span><span style=""font-family:宋体;"">，中国国家电网正式发布《关于做好分布式电源并网服务工作的意见》；目前正在举行的促进分布式电源并网新闻发布会。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">会议透露，至</span><span>2012</span><span style=""font-family:宋体;"">年底，中国已并网投产的分布式电源</span><span>1.56</span><span style=""font-family:宋体;"">万个，装机容量</span><span>3436</span><span style=""font-family:宋体;"">万千瓦，其中分布式水电</span><span>2376</span><span style=""font-family:宋体;"">万千瓦，世界第一。到</span><span>2015</span><span style=""font-family:宋体;"">年，中国将建成</span><span>1000</span><span style=""font-family:宋体;"">个天气然分布式项目、</span><span>1000</span><span style=""font-family:宋体;"">万千瓦太阳能分布式发电。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">以下为《关于做好分布式电源并网服务工作的意见》全文：</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">一、总则</span><span></span></p><p class=""MsoNormal""> <span>1.</span><span style=""font-family:宋体;"">分布式电源对优化能源结构、推动节能减排、实现经济可持续发展具有重要意义。国家电网公司（以下简称公司）认真贯彻落实国家能源发展战略，积极支持分布式电源加快发展，依据《中华人民共和国电力法》、《中华人民共和国可再生能源法》等法律法规以及有关规程规定，按照优化并网流程、简化并网手续、提高服务效率原则，制订本意见。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">二、适用范围</span><span></span></p><p class=""MsoNormal""> <span>2.</span><span style=""font-family:宋体;"">本意见所称分布式电源，是指位于用户附近，所发电能就地利用，以</span><span>10</span><span style=""font-family:宋体;"">千伏及以下电压等级接入电网，且单个并网点总装机容量不超过</span><span>6</span><span style=""font-family:宋体;"">兆瓦的发电项目。包括太阳能、天然气、生物质能、风能、地热能、海洋能、资源综合利用发电等类型。</span><span></span></p><p class=""MsoNormal""> <span>3.</span><span style=""font-family:宋体;"">以</span><span>10</span><span style=""font-family:宋体;"">千伏以上电压等级接入、或以</span><span>10</span><span style=""font-family:宋体;"">千伏电压等级接入但需升压送出的发电项目，执行国家电网公司常规电源相关管理规定。小水电项目按国家有关规定执行。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">三、一般原则</span><span></span></p><p class=""MsoNormal""> <span>4.</span><span style=""font-family:宋体;"">公司积极为分布式电源项目接入电网提供便利条件，为接入系统工程建设开辟绿色通道。接入公共电网的分布式电源项目，其接入系统工程（含通讯专网）以及接入引起的公共电网改造部分由公司投资建设。接入用户侧的分布式电源项目，其接入系统工程由项目业主投资建设，接入引起的公共电网改造部分由公司投资建设（西部地区接入系统工程仍执行国家现行规定）。</span><span></span></p><p class=""MsoNormal""> <span>5.</span><span style=""font-family:宋体;"">分布式电源项目工程设计和施工建设应符合国家相关规定，并网点的电能质量应满足国家和行业相关标准。</span><span></span></p><p class=""MsoNormal""> <span>6.</span><span style=""font-family:宋体;"">建于用户内部场所的分布式电源项目，发电量可以全部上网、全部自用或自发自用余电上网，由用户自行选择，用户不足电量由电网提供。上、下网电量分开结算，电价执行国家相关政策。公司免费提供关口计量装置和发电量计量用电能表。</span><span></span></p><p class=""MsoNormal""> <span>7.</span><span style=""font-family:宋体;"">分布式光伏发电、风电项目不收取系统备用容量费，其他分布式电源项目执行国家有关政策。</span><span></span></p><p class=""MsoNormal""> <span>8.</span><span style=""font-family:宋体;"">公司为享受国家电价补助的分布式电源项目提供补助计量和结算服务，公司收到财政部门拨付补助资金后，及时支付项目业主。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">四、并网服务程序</span><span></span></p><p class=""MsoNormal""> <span>9.</span><span style=""font-family:宋体;"">公司地市或县级客户服务中心为分布式电源项目业主提供接入申请受理服务，协助项目业主填写接入申请表，接收相关支持性文件。</span><span></span></p><p class=""MsoNormal""> <span>10.</span><span style=""font-family:宋体;"">公司为分布式电源项目业主提供接入系统方案制订和咨询服务。接入申请受理后</span><span>40</span><span style=""font-family:宋体;"">个工作日内（光伏发电项目</span><span>25</span><span style=""font-family:宋体;"">个工作日内），公司负责将</span><span>10</span><span style=""font-family:宋体;"">千伏接入项目的接入系统方案确认单、接入电网意见函，或</span><span>380</span><span style=""font-family:宋体;"">伏接入项目的接入系统方案确认单告知项目业主。项目业主确认后，根据接入电网意见函开展项目核准和工程设计等工作。</span><span>380</span><span style=""font-family:宋体;"">伏接入项目，双方确认的接入系统方案等同于接入电网意见函。</span><span></span></p><p class=""MsoNormal""> <span>11.</span><span style=""font-family:宋体;"">建于用户内部场所且以</span><span>10</span><span style=""font-family:宋体;"">千伏接入的分布式电源，项目业主在项目核准后、在接入系统工程施工前，将接入系统工程设计相关材料提交客户服务中心，客户服务中心收到材料后出具答复意见并告知项目业主，项目业主根据答复意见开展工程建设等后续工作。</span><span></span></p><p class=""MsoNormal""> <span>12.</span><span style=""font-family:宋体;"">分布式电源项目主体工程和接入系统工程竣工后，客户服务中心受理项目业主并网验收及并网调试申请，接收相关材料。</span><span></span></p><p class=""MsoNormal""> <span>13.</span><span style=""font-family:宋体;"">公司在受理并网验收及并网调试申请后，</span><span>10</span><span style=""font-family:宋体;"">个工作日内完成关口电能计量装置安装服务，并与项目业主（或电力用户）签署购售电合同和并网调度协议。合同和协议内容执行国家电力监管委员会和国家工商行政管理总局相关规定。</span><span></span></p><p class=""MsoNormal""> <span>14.</span><span style=""font-family:宋体;"">公司在关口电能计量装置安装完成、合同和协议签署完毕后，</span><span>10</span><span style=""font-family:宋体;"">个工作日内组织并网验收及并网调试，向项目业主提供验收意见，调试通过后直接转入并网运行。验收标准按国家有关规定执行。若验收不合格，公司向项目业主提出解决方案。</span><span></span></p><p class=""MsoNormal""> <span>15.</span><span style=""font-family:宋体;"">公司在并网申请受理、接入系统方案制订、接入系统工程设计审查、计量装置安装、合同和协议签署、并网验收和并网调试、政府补助计量和结算服务中，不收取任何服务费用；由用户出资建设的分布式电源及其接入系统工程，其设计单位、施工单位及设备材料供应单位由用户自主选择。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">五、咨询服务</span><span></span></p><p class=""MsoNormal""> <span>16.</span><span style=""font-family:宋体;"">国家电网公司为分布式电源并网提供客户服务中心、</span><span>95598</span><span style=""font-family:宋体;"">服务热线、网上营业厅等多种咨询渠道，向项目业主提供并网办理流程说明、相关政策规定解释、并网工作进度查询等服务，接受项目业主投诉。</span><span></span></p><p class=""MsoNormal""> <span style=""font-family:宋体;"">意见全文来自国家电网报</span><span></span></p>",国家电网正式发布分布式电源并网工作意见
科陆电子：智能电表订单又获突破业绩稳定增长,,"&nbsp;<p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">中标合同：“国家电网公司集中规模招标采购<span>2011</span>年电能表（含采集设备）第五批项目中标公告”，深圳市</span><span><a href=""http://quotes.money.163.com/1002121.html""><b><span style=""font-family:宋体;color:#1e50a2;""><span>科陆电子</span></span></b></a></span><span style=""font-family:宋体;color:#2b2b2b;"">科技股份有限公司（以下简称“公司”）为此项目第<span>1</span>分标“<span>2</span>级单相智能电能表”、第<span>2</span>分标“<span>1</span>级三相智能电能表”和第<span>8</span>分标“专变采集终端”中标人，共中<span>13</span>个包，中标的智能电能表总数量为<span>724,294</span>只，专变采集终端总数量为<span>2,246</span>台，预计中标总金额约为<span>16,085.40</span>万元。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">国家电网智能电表第五次招标，招标智能电表<span>1671</span>万只，公司智能电表中标<span>72.43</span>万只，占招标比例<span>4.33%</span>，招标专变采集终端总数为<span>109,699</span>台，公司中标<span>2246</span>台，占招标比例<span>2.05%</span>，预计带来收入<span>1.61</span>亿元，该合同收入在明年将有所体现。公司前三季度收入<span>7.09</span>亿，预计全年收入约<span>11</span>亿，合同金额占收入比例约<span>15%</span>，预计增厚<span>EPS</span>大约<span>6</span>分钱。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">预计国家电网“十二五”智能电表需求大约<span>2.3</span>亿只，平均每年<span>4600</span>万只。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">今年前四次招标累计<span>5854</span>万只，第五次招标<span>1671</span>万只，累计招标<span>7525</span>万只，未来智能电表数量有限，对智能电表业务我们持谨慎态度。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">公司有<span>40%</span>的产品为用电自动化产品，我们看好电力自动化中的配用电自动化子行业，该行业未来将出现爆发式增长。电力自动化业务毛利率基本稳定，包括用电自动化产品（目前主要是采集终端、集中器等）、变频器、电力操作电源。电力操作电源业务由于推出了充电机、充电桩等新产品，变频器经过两年的培育，营业收入已经达到<span>4</span>千万，毛利率已经上升到合理水平，预计未来随着规模的扩大，毛利率还会小幅提升。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <b><span style=""font-family:宋体;color:#2b2b2b;"">投资建议及评级</span></b><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p style=""text-indent:24pt;"" class=""MsoNormal""> <span style=""font-family:宋体;color:#2b2b2b;"">预计<span>2011-2012</span>年的<span>EPS</span>分别为<span>0.37</span>元，<span>0.49</span>元，昨天收盘价格为<span>10.07</span>元，对应的<span>PE</span>分别为<span>27</span>倍，<span>20</span>倍，虽然智能电表市场份额有限，但我们看好公司用电自动化业务，给予公司增持评级。</span><span style=""font-family:宋体;color:#2b2b2b;""></span></p><p class=""MsoNormal""> <span></span>&nbsp;</p>",科陆电子：智能电表订单又获突破业绩稳定增长
国家863计划引导项目承担单位,,国家863计划引导项目承担单位,国家863计划引导项目承担单位
国家人事部批准设立博士后科研工作站,,"&nbsp;<p class=""MsoNormal""> <span style=""font-family:宋体;"">国家人事部批准设立博士后科研工作站</span></p>",国家人事部批准设立博士后科研工作站
国家重点高新技术企业,,"&nbsp;<p class=""MsoNormal""> <span style=""font-family:宋体;"">国家重点高新技术企业</span></p>",国家重点高新技术企业
国家规划布局内重点软件企业,,"&nbsp;<p class=""MsoNormal""> <span style=""font-family:宋体;"">国家规划布局内重点软件企业</span></p>",国家规划布局内重点软件企业
国家火炬计划软件产业基地骨干企业,,"&nbsp;<p class=""MsoNormal""> <span style=""font-family:宋体;"">国家火炬计划软件产业基地骨干企业</span></p>",国家火炬计划软件产业基地骨干企业
图片名称1,temp/Pic08.jpg,<p> 内容</p>,图片名称1
图片名称2,temp/Pic09.jpg,<p> 内容</p>,图片名称2
图片名称3,temp/Pic10.jpg,<p> 内容</p>,图片名称3
图片名称4,temp/Pic11.jpg,<p> 内容</p>,图片名称4
我们为同事提供有社会竞争我们为同事提供有社会竞争,temp/Pic12.jpg,陆建立了有效的一对一导师引导制度...,我们为同事提供有社会竞争我们为同事提供有社会竞争
