2016-06-18,科陆电子：关于为控股子公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-18/2536635.PDF,其他
2016-06-18,科陆电子：关于对股票期权与限制性股票激励计划涉及的权益数量及行权/回购进行调整的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-18/2536634.PDF,其他
2016-06-08,科陆电子：2015年度非公开发行股票预案（四次修订稿）,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520565.PDF,其他
2016-06-08,科陆电子：关于非公开发行股票募集资金运用可行性分析报告（三次修订稿）,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520564.PDF,其他
2016-06-08,科陆电子：独立董事对第六届董事会第九次（临时）会议相关事项的事前认可意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520563.PDF,董事会
2016-06-08,科陆电子：独立董事对第六届董事会第九次（临时）会议相关事项的独立意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520562.PDF,董事会
2016-06-08,科陆电子：第六届董事会第九次（临时）会议决议的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520561.PDF,董事会
2016-06-08,科陆电子：关于调整公司2015年度非公开发行股票方案的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520560.PDF,其他
2016-06-08,科陆电子：第六届监事会第六次（临时）会议决议的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520558.PDF,监事会
2016-06-08,科陆电子：关于签署附条件生效的股份认购协议之补充协议暨关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520557.PDF,其他
2016-06-08,科陆电子：兴业证券股份有限公司关于公司非公开发行A股股票涉及关联交易的核查意见,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520556.PDF,其他
2016-06-08,科陆电子：关于非公开发行股票摊薄即期回报的风险提示及采取填补措施（修订稿）的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520555.PDF,其他
2016-06-08,科陆电子：关于召开公司2016年第五次临时股东大会的通知,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2520553.PDF,股东大会
2016-06-08,科陆电子：2015年度权益分派实施公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2016/2016-6/2016-06-08/2519055.PDF,其他
